epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,elapsed_seconds,val_macro_f1
0,2.863470652377564,0.04878048780487805,2.891636279321486,0.06451612903225806,0.0004986332128943842,23.865276800002903,0.021626297577854673
1,2.803863002863495,0.3588850174216028,2.8502324627291773,0.16129032258064516,0.0004945478263830845,18.24333700002171,0.19064856711915537
2,2.735680327598226,0.5087108013937283,2.8197696362772295,0.25806451612903225,0.0004877886008156408,18.37227019999409,0.2499961249321863
3,2.6673094179572128,0.6829268292682927,2.782470072469404,0.25806451612903225,0.00047842959168182885,19.156205000006594,0.29411764705882354
4,2.5879762214235313,0.7386759581881533,2.721616345067178,0.3064516129032258,0.0004665733382442175,21.566470799967647,0.35286977536112485
5,2.5080572836075095,0.8048780487804879,2.68586257965334,0.3870967741935484,0.0004523497400965494,23.53135869995458,0.4514328808446455
6,2.426985642635864,0.8780487804878049,2.6183573353675103,0.3870967741935484,0.0004359146339566099,24.781009499973152,0.4314709161256476
7,2.343666560973855,0.926829268292683,2.5764369349325857,0.46774193548387094,0.00041744808628653516,21.88503980002133,0.535519425161369
8,2.2649354012585685,0.9581881533101045,2.5565356900615077,0.43548387096774194,0.00039715242044697206,21.91766119998647,0.4825253178194354
9,2.1923422132219588,0.9686411149825784,2.5210027387065272,0.4838709677419355,0.00037525000000000004,22.101670100004412,0.4365546218487395
10,2.1204839276104437,0.9860627177700348,2.4899295068556264,0.46774193548387094,0.00035198079244741227,25.754781100025866,0.5030784862964793
11,2.0539907271022995,0.9930313588850174,2.422493565467096,0.5483870967741935,0.00032759974009654945,31.28412229998503,0.5740675217455403
12,1.9983987409478696,0.9930313588850174,2.393187484433574,0.5161290322580645,0.000302373966859031,30.63328970002476,0.5065841309785946
13,1.9452990310117342,0.9895470383275261,2.3704811373064594,0.5,0.0002765798515852796,22.99750800000038,0.5467564942797141
14,1.877512629439191,1.0,2.353738269498271,0.5483870967741935,0.0002505000000000001,18.1056645999779,0.5534790727885357
15,1.8272269752382817,1.0,2.3477356972232943,0.5,0.00022442014841472053,16.914145199989434,0.5498994469582704
16,1.7908175469275551,0.9965156794425087,2.335383022985151,0.532258064516129,0.00019862603314096906,16.953970100032166,0.5917483101693628
17,1.7489657489264883,1.0,2.2541928598957677,0.5483870967741935,0.00017340025990345066,16.61434750002809,0.5818767507002801
18,1.7165521175603833,1.0,2.2302917665050876,0.5483870967741935,0.0001490192075525879,16.33475159999216,0.5999069983724715
19,1.6926907330024532,0.9965156794425087,2.23046709645179,0.532258064516129,0.0001257500000000001,16.69201170001179,0.6054073803434418
20,1.666288679900485,1.0,2.231725054402505,0.5483870967741935,0.00010384757955302802,17.05894969997462,0.6223071046600459
21,1.6456884856008072,1.0,2.2261440061753794,0.5161290322580645,8.355191371346498e-05,16.29854680004064,0.5635367190354403
22,1.6316520922690734,1.0,2.2069480342249714,0.532258064516129,6.50853660433902e-05,16.05277189996559,0.5777438248026483
23,1.6138268123520376,1.0,2.1945435616277877,0.532258064516129,4.8650259903450666e-05,16.548309200035874,0.6112166605772744
24,1.6117362660398051,1.0,2.182360141508041,0.5483870967741935,3.442666175578256e-05,32.33130420005182,0.6151260504201682
25,1.6021687868164807,1.0,2.1915975232278146,0.5483870967741935,2.257040831817107e-05,28.332864600000903,0.6033613445378152
26,1.6013580548223303,1.0,2.1938666989726405,0.5483870967741935,1.32113991843592e-05,28.728498000011314,0.615266106442577
27,1.5929914733674053,1.0,2.1919014915343253,0.5483870967741935,6.452173616915483e-06,22.570315599965397,0.615266106442577
28,1.58933566837776,1.0,2.1877843180010395,0.5483870967741935,2.366787105615787e-06,25.21489030000521,0.6151260504201682
29,1.590645475254657,1.0,2.18781635069078,0.5483870967741935,1e-06,22.169505099998787,0.6072829131652662
