mapillary_image_id,map_feature_id,all_linked_map_feature_ids,exact_mapillary_taxonomy_label,project_class,sequence_id,capture_timestamp_utc,captured_at_epoch_ms,contributor_id,contributor_name,latitude,longitude,geographic_evidence_india,city_search_area,source_reference,api_retrieval_timestamp_utc,taxonomy_mapping_confidence,independence_group_id,review_status,approved_photograph,discovery_source,search_box_id,search_type,r07_independence_group_id
1321058109654571,1466020801860156,1466020801860156,regulatory--maximum-speed-limit-50--g1,maximum_speed_limit_50_km_h,ikmyOLC9WsRH0zgZQBxwGb,2025-04-02T01:44:55+00:00,1743558295115,1291069248478728,AliAba,19.0357470,73.0293824,"Curated interior coordinate centred on Navi Mumbai, India",Navi Mumbai,https://www.mapillary.com/app/?pKey=1321058109654571,2026-09-01T17:31:29+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00009,metadata_only_not_reviewed,no,expanded_20260901,additional_city_055,additional_city_or_town,
199758078782161,281940363697534,281940363697534,regulatory--maximum-speed-limit-50--g1,maximum_speed_limit_50_km_h,PMo7KhJ3HSQOUNxTrmZCa6,2021-08-03T03:41:03+00:00,1627962063735,138886808313564,muruligowda,12.9669638,77.5950433,"Map feature coordinate returned inside curated Bengaluru, India search box",Bengaluru,https://www.mapillary.com/app/?pKey=199758078782161,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00020,metadata_only_not_reviewed,no,r07,r07_city_centre,r07_city_centre,mapillary_india_group_00006
367657988059556,281940363697534,281940363697534,regulatory--maximum-speed-limit-50--g1,maximum_speed_limit_50_km_h,PMo7KhJ3HSQOUNxTrmZCa6,2021-08-03T03:41:01+00:00,1627962061750,138886808313564,muruligowda,12.9670714,77.5950296,"Map feature coordinate returned inside curated Bengaluru, India search box",Bengaluru,https://www.mapillary.com/app/?pKey=367657988059556,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00020,metadata_only_not_reviewed,no,r07,r07_city_centre,r07_city_centre,mapillary_india_group_00006
410980760350121,281940363697534,281940363697534,regulatory--maximum-speed-limit-50--g1,maximum_speed_limit_50_km_h,PMo7KhJ3HSQOUNxTrmZCa6,2021-08-03T03:41:02+00:00,1627962062645,138886808313564,muruligowda,12.9670225,77.5950367,"Map feature coordinate returned inside curated Bengaluru, India search box",Bengaluru,https://www.mapillary.com/app/?pKey=410980760350121,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00020,metadata_only_not_reviewed,no,r07,r07_city_centre,r07_city_centre,mapillary_india_group_00006
669503669501719,1466020801860156,1466020801860156,regulatory--maximum-speed-limit-50--g1,maximum_speed_limit_50_km_h,ikmyOLC9WsRH0zgZQBxwGb,2025-04-02T01:44:54+00:00,1743558294103,1291069248478728,AliAba,19.0358796,73.0293606,"Curated interior coordinate centred on Navi Mumbai, India",Navi Mumbai,https://www.mapillary.com/app/?pKey=669503669501719,2026-09-01T17:31:29+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00009,metadata_only_not_reviewed,no,expanded_20260901,additional_city_055,additional_city_or_town,
670001549450545,1466020808526822,1466020808526822,regulatory--maximum-speed-limit-50--g1,maximum_speed_limit_50_km_h,ikmyOLC9WsRH0zgZQBxwGb,2025-04-02T01:45:05+00:00,1743558305106,1291069248478728,AliAba,19.0343816,73.0295817,"Curated interior coordinate centred on Navi Mumbai, India",Navi Mumbai,https://www.mapillary.com/app/?pKey=670001549450545,2026-09-01T17:31:29+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00010,metadata_only_not_reviewed,no,expanded_20260901,additional_city_055,additional_city_or_town,
802704766262426,1466020808526822,1466020808526822,regulatory--maximum-speed-limit-50--g1,maximum_speed_limit_50_km_h,ikmyOLC9WsRH0zgZQBxwGb,2025-04-02T01:45:04+00:00,1743558304105,1291069248478728,AliAba,19.0345274,73.0295606,"Curated interior coordinate centred on Navi Mumbai, India",Navi Mumbai,https://www.mapillary.com/app/?pKey=802704766262426,2026-09-01T17:31:29+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00010,metadata_only_not_reviewed,no,expanded_20260901,additional_city_055,additional_city_or_town,
957713598342524,281940363697534,281940363697534,regulatory--maximum-speed-limit-50--g1,maximum_speed_limit_50_km_h,PMo7KhJ3HSQOUNxTrmZCa6,2021-08-03T03:41:00+00:00,1627962060639,138886808313564,muruligowda,12.9671325,77.5950183,"Map feature coordinate returned inside curated Bengaluru, India search box",Bengaluru,https://www.mapillary.com/app/?pKey=957713598342524,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00020,metadata_only_not_reviewed,no,r07,r07_city_centre,r07_city_centre,mapillary_india_group_00006
1010314836169389,759766354581786,759766354581786,regulatory--no-left-turn--g1,no_left_turn,2HnX078mwqyLP6D5yvXfLA,2017-12-26T06:34:52+00:00,1514270092136,107202001513219,planemad,12.9864252,77.5953881,"Non-overlapping outer urban tile around Bengaluru, India; excludes the r07 centre box",Bengaluru outer tile,https://www.mapillary.com/app/?pKey=1010314836169389,2026-09-01T17:31:29+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00047,metadata_only_not_reviewed,no,expanded_20260901,major_city_ring_023,non_overlapping_major_city_ring,
1015322711177208,1419110073233719,1419110073233719,regulatory--no-left-turn--g2,no_left_turn,9S8hvLpg4m1X2aFjIBy7WY,2026-05-02T04:48:07+00:00,1777697287642,106724622478113,WPStan,19.0587654,72.8635033,"Non-overlapping outer urban tile around Mumbai, India; excludes the r07 centre box",Mumbai outer tile,https://www.mapillary.com/app/?pKey=1015322711177208,2026-09-01T17:31:29+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00007,metadata_only_not_reviewed,no,expanded_20260901,major_city_ring_009,non_overlapping_major_city_ring,
