mapillary_image_id,map_feature_id,all_linked_map_feature_ids,exact_mapillary_taxonomy_label,project_class,sequence_id,capture_timestamp_utc,captured_at_epoch_ms,contributor_id,contributor_name,latitude,longitude,geographic_evidence_india,city_search_area,source_reference,api_retrieval_timestamp_utc,taxonomy_mapping_confidence,independence_group_id,review_status,approved_photograph,acquisition_order,acquisition_status,pixel_download_authorized,selection_basis,attribution_title,attribution_contributor,attribution_source_url,attribution_licence,attribution_text_template,terms_status
1482986895907470,1122544335603732,1122544335603732,regulatory--no-parking--g2,no_parking,JPw0BsGM4Hlqt23nb6gAUp,2024-02-29T03:36:37+00:00,1709177797991,1350542048985301,Rishav12345,20.2964527,85.8245576,"Map feature coordinate returned inside curated Bhubaneswar, India search box",Bhubaneswar,https://www.mapillary.com/app/?pKey=1482986895907470,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00001,metadata_only_not_reviewed,no,1,proposed_metadata_only,no,"All frozen r07 candidates retained; round-robin order across dependency groups, then metadata diversity within each group",Mapillary image 1482986895907470,Rishav12345,https://www.mapillary.com/app/?pKey=1482986895907470,CC BY-SA (version to verify at download time),Mapillary image 1482986895907470 by Rishav12345; source https://www.mapillary.com/app/?pKey=1482986895907470; licensed under CC BY-SA,blocked_pending_manual_logged_in_terms_confirmation
946936488004428,1189171786712922,1189171786712922,regulatory--no-parking--g2,no_parking,5Jdjy9AWuoLENPaKXVFt4c,2026-01-31T11:07:14+00:00,1769857634757,721823490787050,Hakimuj,26.1396117,91.7405250,"Map feature coordinate returned inside curated Guwahati, India search box",Guwahati,https://www.mapillary.com/app/?pKey=946936488004428,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00002,metadata_only_not_reviewed,no,2,proposed_metadata_only,no,"All frozen r07 candidates retained; round-robin order across dependency groups, then metadata diversity within each group",Mapillary image 946936488004428,Hakimuj,https://www.mapillary.com/app/?pKey=946936488004428,CC BY-SA (version to verify at download time),Mapillary image 946936488004428 by Hakimuj; source https://www.mapillary.com/app/?pKey=946936488004428; licensed under CC BY-SA,blocked_pending_manual_logged_in_terms_confirmation
161266909177946,1202713840193546,1202713840193546,regulatory--no-parking--g2,no_parking,64e885fc-c94f-4686-9c90-fd6f34d0ad43,2018-05-27T11:13:41+00:00,1527419621977,109171661316235,abidandroid286,23.0225028,72.5720978,"Map feature coordinate returned inside curated Ahmedabad, India search box",Ahmedabad,https://www.mapillary.com/app/?pKey=161266909177946,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00003,metadata_only_not_reviewed,no,3,proposed_metadata_only,no,"All frozen r07 candidates retained; round-robin order across dependency groups, then metadata diversity within each group",Mapillary image 161266909177946,abidandroid286,https://www.mapillary.com/app/?pKey=161266909177946,CC BY-SA (version to verify at download time),Mapillary image 161266909177946 by abidandroid286; source https://www.mapillary.com/app/?pKey=161266909177946; licensed under CC BY-SA,blocked_pending_manual_logged_in_terms_confirmation
311431664643254,224382813898307,224382813898307,regulatory--no-parking--g1,no_parking,RuL5JO4PhvSB10aF3wtsD9,2023-07-23T03:18:20+00:00,1690082300057,106388704931827,wireman,12.9750247,77.5904125,"Map feature coordinate returned inside curated Bengaluru, India search box",Bengaluru,https://www.mapillary.com/app/?pKey=311431664643254,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00004,metadata_only_not_reviewed,no,4,proposed_metadata_only,no,"All frozen r07 candidates retained; round-robin order across dependency groups, then metadata diversity within each group",Mapillary image 311431664643254,wireman,https://www.mapillary.com/app/?pKey=311431664643254,CC BY-SA (version to verify at download time),Mapillary image 311431664643254 by wireman; source https://www.mapillary.com/app/?pKey=311431664643254; licensed under CC BY-SA,blocked_pending_manual_logged_in_terms_confirmation
1438276811237174,25687158680969473,25687158680969473,regulatory--no-parking--g2,no_parking,mY4LqoQGr9OspeXZgauc0y,2026-01-20T08:01:13+00:00,1768896073035,1390940191591088,Absawant,20.0019699,73.7859181,"Map feature coordinate returned inside curated Nashik, India search box",Nashik,https://www.mapillary.com/app/?pKey=1438276811237174,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00005,metadata_only_not_reviewed,no,5,proposed_metadata_only,no,"All frozen r07 candidates retained; round-robin order across dependency groups, then metadata diversity within each group",Mapillary image 1438276811237174,Absawant,https://www.mapillary.com/app/?pKey=1438276811237174,CC BY-SA (version to verify at download time),Mapillary image 1438276811237174 by Absawant; source https://www.mapillary.com/app/?pKey=1438276811237174; licensed under CC BY-SA,blocked_pending_manual_logged_in_terms_confirmation
167191639708392,3386281431682337,3386281431682337,regulatory--no-parking--g2,no_parking,pLQdcHBve2Z8Sb9hYrCw1V,2023-07-22T07:43:51+00:00,1690011831643,106388704931827,wireman,12.9745516,77.5911790,"Map feature coordinate returned inside curated Bengaluru, India search box",Bengaluru,https://www.mapillary.com/app/?pKey=167191639708392,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00007,metadata_only_not_reviewed,no,6,proposed_metadata_only,no,"All frozen r07 candidates retained; round-robin order across dependency groups, then metadata diversity within each group",Mapillary image 167191639708392,wireman,https://www.mapillary.com/app/?pKey=167191639708392,CC BY-SA (version to verify at download time),Mapillary image 167191639708392 by wireman; source https://www.mapillary.com/app/?pKey=167191639708392; licensed under CC BY-SA,blocked_pending_manual_logged_in_terms_confirmation
718175397112554,347029754990979,347029754990979,regulatory--no-parking--g2,no_parking,JPw0BsGM4Hlqt23nb6gAUp,2024-02-29T03:35:56+00:00,1709177756175,1350542048985301,Rishav12345,20.2968670,85.8243147,"Map feature coordinate returned inside curated Bhubaneswar, India search box",Bhubaneswar,https://www.mapillary.com/app/?pKey=718175397112554,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00009,metadata_only_not_reviewed,no,7,proposed_metadata_only,no,"All frozen r07 candidates retained; round-robin order across dependency groups, then metadata diversity within each group",Mapillary image 718175397112554,Rishav12345,https://www.mapillary.com/app/?pKey=718175397112554,CC BY-SA (version to verify at download time),Mapillary image 718175397112554 by Rishav12345; source https://www.mapillary.com/app/?pKey=718175397112554; licensed under CC BY-SA,blocked_pending_manual_logged_in_terms_confirmation
515474734398675,3931177493869798,3931177493869798,regulatory--no-parking--g2,no_parking,bXKuvW5Of2jLDEgTl0ncHq,2024-09-04T10:06:52+00:00,1725444412917,3569931696486659,skysign,23.0228157,72.5712078,"Map feature coordinate returned inside curated Ahmedabad, India search box",Ahmedabad,https://www.mapillary.com/app/?pKey=515474734398675,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00010,metadata_only_not_reviewed,no,8,proposed_metadata_only,no,"All frozen r07 candidates retained; round-robin order across dependency groups, then metadata diversity within each group",Mapillary image 515474734398675,skysign,https://www.mapillary.com/app/?pKey=515474734398675,CC BY-SA (version to verify at download time),Mapillary image 515474734398675 by skysign; source https://www.mapillary.com/app/?pKey=515474734398675; licensed under CC BY-SA,blocked_pending_manual_logged_in_terms_confirmation
27319314840992897,534175135752540,534175135752540,regulatory--no-parking--g2,no_parking,YPkteVmsf9l5jBiFRL3ShX,2024-09-04T09:50:50+00:00,1725443450405,3569931696486659,skysign,23.0232445,72.5714681,"Map feature coordinate returned inside curated Ahmedabad, India search box",Ahmedabad,https://www.mapillary.com/app/?pKey=27319314840992897,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00014,metadata_only_not_reviewed,no,9,proposed_metadata_only,no,"All frozen r07 candidates retained; round-robin order across dependency groups, then metadata diversity within each group",Mapillary image 27319314840992897,skysign,https://www.mapillary.com/app/?pKey=27319314840992897,CC BY-SA (version to verify at download time),Mapillary image 27319314840992897 by skysign; source https://www.mapillary.com/app/?pKey=27319314840992897; licensed under CC BY-SA,blocked_pending_manual_logged_in_terms_confirmation
532276445668505,566597015330070,566597015330070,regulatory--no-parking--g2,no_parking,nXydZ38eAfHpt2hrQVab9K,2023-01-18T04:04:51+00:00,1674014691237,104307228477491,livableurbanism,11.2608590,75.7854900,"Map feature coordinate returned inside curated Kozhikode, India search box",Kozhikode,https://www.mapillary.com/app/?pKey=532276445668505,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00015,metadata_only_not_reviewed,no,10,proposed_metadata_only,no,"All frozen r07 candidates retained; round-robin order across dependency groups, then metadata diversity within each group",Mapillary image 532276445668505,livableurbanism,https://www.mapillary.com/app/?pKey=532276445668505,CC BY-SA (version to verify at download time),Mapillary image 532276445668505 by livableurbanism; source https://www.mapillary.com/app/?pKey=532276445668505; licensed under CC BY-SA,blocked_pending_manual_logged_in_terms_confirmation
