mapillary_image_id,map_feature_id,all_linked_map_feature_ids,exact_mapillary_taxonomy_label,project_class,sequence_id,capture_timestamp_utc,captured_at_epoch_ms,contributor_id,contributor_name,latitude,longitude,geographic_evidence_india,city_search_area,source_reference,api_retrieval_timestamp_utc,taxonomy_mapping_confidence,independence_group_id,review_status,approved_photograph
199758078782161,281940363697534,281940363697534,regulatory--maximum-speed-limit-50--g1,maximum_speed_limit_50_km_h,PMo7KhJ3HSQOUNxTrmZCa6,2021-08-03T03:41:03+00:00,1627962063735,138886808313564,muruligowda,12.9669638,77.5950433,"Map feature coordinate returned inside curated Bengaluru, India search box",Bengaluru,https://www.mapillary.com/app/?pKey=199758078782161,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00006,metadata_only_not_reviewed,no
367657988059556,281940363697534,281940363697534,regulatory--maximum-speed-limit-50--g1,maximum_speed_limit_50_km_h,PMo7KhJ3HSQOUNxTrmZCa6,2021-08-03T03:41:01+00:00,1627962061750,138886808313564,muruligowda,12.9670714,77.5950296,"Map feature coordinate returned inside curated Bengaluru, India search box",Bengaluru,https://www.mapillary.com/app/?pKey=367657988059556,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00006,metadata_only_not_reviewed,no
410980760350121,281940363697534,281940363697534,regulatory--maximum-speed-limit-50--g1,maximum_speed_limit_50_km_h,PMo7KhJ3HSQOUNxTrmZCa6,2021-08-03T03:41:02+00:00,1627962062645,138886808313564,muruligowda,12.9670225,77.5950367,"Map feature coordinate returned inside curated Bengaluru, India search box",Bengaluru,https://www.mapillary.com/app/?pKey=410980760350121,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00006,metadata_only_not_reviewed,no
957713598342524,281940363697534,281940363697534,regulatory--maximum-speed-limit-50--g1,maximum_speed_limit_50_km_h,PMo7KhJ3HSQOUNxTrmZCa6,2021-08-03T03:41:00+00:00,1627962060639,138886808313564,muruligowda,12.9671325,77.5950183,"Map feature coordinate returned inside curated Bengaluru, India search box",Bengaluru,https://www.mapillary.com/app/?pKey=957713598342524,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00006,metadata_only_not_reviewed,no
1410241999323439,499018107959474,499018107959474,regulatory--no-left-turn--g1,no_left_turn,SO0ZDIFZIW7TOzTvk4d39A,2017-11-19T06:35:48+00:00,1511073348644,107887898114051,aditisarwate,18.5188354,73.8600204,"Map feature coordinate returned inside curated Pune, India search box",Pune,https://www.mapillary.com/app/?pKey=1410241999323439,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00013,metadata_only_not_reviewed,no
2916957175226471,499018107959474,499018107959474,regulatory--no-left-turn--g1,no_left_turn,SO0ZDIFZIW7TOzTvk4d39A,2017-11-19T06:35:47+00:00,1511073347544,107887898114051,aditisarwate,18.5188625,73.8600653,"Map feature coordinate returned inside curated Pune, India search box",Pune,https://www.mapillary.com/app/?pKey=2916957175226471,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00013,metadata_only_not_reviewed,no
304181787771560,499018107959474,499018107959474,regulatory--no-left-turn--g1,no_left_turn,SO0ZDIFZIW7TOzTvk4d39A,2017-11-19T06:35:46+00:00,1511073346377,107887898114051,aditisarwate,18.5188908,73.8601207,"Map feature coordinate returned inside curated Pune, India search box",Pune,https://www.mapillary.com/app/?pKey=304181787771560,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00013,metadata_only_not_reviewed,no
881139199398345,499018107959474,499018107959474,regulatory--no-left-turn--g1,no_left_turn,SO0ZDIFZIW7TOzTvk4d39A,2017-11-19T06:35:54+00:00,1511073354392,107887898114051,aditisarwate,18.5186998,73.8597499,"Map feature coordinate returned inside curated Pune, India search box",Pune,https://www.mapillary.com/app/?pKey=881139199398345,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00013,metadata_only_not_reviewed,no
919597995521130,499018107959474,499018107959474,regulatory--no-left-turn--g1,no_left_turn,SO0ZDIFZIW7TOzTvk4d39A,2017-11-19T06:35:51+00:00,1511073351388,107887898114051,aditisarwate,18.5187592,73.8599005,"Map feature coordinate returned inside curated Pune, India search box",Pune,https://www.mapillary.com/app/?pKey=919597995521130,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00013,metadata_only_not_reviewed,no
1032561994327128,224382843898304,224382843898304,regulatory--no-parking--g2,no_parking,RuL5JO4PhvSB10aF3wtsD9,2023-07-23T03:18:35+00:00,1690082315770,106388704931827,wireman,12.9751723,77.5903120,"Map feature coordinate returned inside curated Bengaluru, India search box",Bengaluru,https://www.mapillary.com/app/?pKey=1032561994327128,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00004,metadata_only_not_reviewed,no
1103277787586383,1122544335603732,1122544335603732,regulatory--no-parking--g2,no_parking,slE9OxDQCe50Wawdzp2JnL,2024-02-29T03:35:48+00:00,1709177748822,420062863854312,asmiganar,20.2962583,85.8245615,"Map feature coordinate returned inside curated Bhubaneswar, India search box",Bhubaneswar,https://www.mapillary.com/app/?pKey=1103277787586383,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00001,metadata_only_not_reviewed,no
1128819424431946,566597015330070,566597015330070,regulatory--no-parking--g2,no_parking,nXydZ38eAfHpt2hrQVab9K,2023-01-18T04:04:59+00:00,1674014699725,104307228477491,livableurbanism,11.2609103,75.7854670,"Map feature coordinate returned inside curated Kozhikode, India search box",Kozhikode,https://www.mapillary.com/app/?pKey=1128819424431946,2026-09-01T15:58:36+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00015,metadata_only_not_reviewed,no
