epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,elapsed_seconds
0,1.0501444955946695,0.8718309859154929,,,0.0009972636867364526,71.57047639999655
1,0.5050187846304666,0.9669014084507043,,,0.000989084726566536,76.48651980000432
2,0.2778786448525711,0.9725352112676057,,,0.0009755527298894295,72.63071390002733
3,0.18303609291012857,0.9774647887323944,,,0.0009568159560924792,78.21227230000659
4,0.13573188987416282,0.9795774647887324,,,0.0009330796891903274,95.77622930001235
5,0.11960443205816645,0.9767605633802817,,,0.0009046039886902865,116.4923994000128
6,0.09407358404616235,0.9809859154929578,,,0.0008717008403259585,128.00126160000218
7,0.08084160513966017,0.9830985915492958,,,0.0008347307378762498,177.010663699999
8,0.07637499232946987,0.9845070422535211,,,0.0007940987335200904,106.39254550001351
9,0.06334882397466982,0.9838028169014085,,,0.00075025,78.77391850002459
10,0.051518400559123136,0.9880281690140845,,,0.0007036649532163624,66.21622040000511
11,0.04916493650788153,0.9873239436619718,,,0.0006548539886902864,45.43341009999858
12,0.05090982103326791,0.9873239436619718,,,0.0006043518895634709,44.772033700020984
13,0.04520008509427729,0.9887323943661972,,,0.0005527119674021931,45.01450700001442
14,0.04070547364232406,0.9894366197183099,,,0.0005005000000000002,45.38973049999913
15,0.03536259204568997,0.9908450704225352,,,0.00044828803259780724,45.940080500004115
16,0.03307309524274208,0.9915492957746479,,,0.0003966481104365292,48.22598419999122
17,0.03182532967815936,0.9915492957746479,,,0.00034614601130971383,50.20393459999468
18,0.031122134835787223,0.9908450704225352,,,0.00029733504678363786,46.86123830001452
19,0.0309247132836723,0.9915492957746479,,,0.00025075000000000016,46.47029290001956
20,0.030293011371518526,0.9915492957746479,,,0.00020690126647990976,100.47325169999385
21,0.030158321436127306,0.9915492957746479,,,0.0001662692621237505,105.34963099999004
22,0.029295043033403412,0.9915492957746479,,,0.00012929915967404166,79.66772349999519
23,0.029517561819037082,0.9915492957746479,,,9.639601130971383e-05,69.82892259999062
24,0.029053988913729997,0.9915492957746479,,,6.792031080967288e-05,69.71250470000086
25,0.028786080873663158,0.9915492957746479,,,4.418404390752082e-05,71.44759929997963
26,0.02879334273682514,0.9915492957746479,,,2.5447270110570814e-05,70.7973164000141
27,0.028711333081231152,0.9915492957746479,,,1.1915273433464061e-05,71.98597540002083
28,0.02885403884705943,0.9915492957746479,,,3.736313263547436e-06,71.0624744000088
29,0.02929366208140699,0.9915492957746479,,,1e-06,93.17462199999136
