label,index,precision,recall,f1,support
filling_station,0,1.0,1.0,1.0,3
gap_in_median,1,0.0,0.0,0.0,2
give_way,2,1.0,0.3333333333333333,0.5,3
hairpin_bend_ahead,3,0.6666666666666666,0.5,0.5714285714285714,4
left_curve_ahead,4,0.0,0.0,0.0,4
major_road_ahead,5,1.0,0.3333333333333333,0.5,3
maximum_speed_limit_30_km_h,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
maximum_speed_limit_40_km_h,7,0.75,1.0,0.8571428571428571,3
maximum_speed_limit_80_km_h,8,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
no_entry,9,1.0,0.5,0.6666666666666666,2
no_right_turn,10,1.0,1.0,1.0,1
pass_either_side,11,1.0,1.0,1.0,1
pedestrian_crossing_ahead,12,0.4117647058823529,0.7,0.5185185185185185,10
right_curve_ahead,13,0.23076923076923078,0.75,0.35294117647058826,4
road_hump,14,0.5,0.5,0.5,8
school_ahead,15,0.3333333333333333,0.16666666666666666,0.2222222222222222,6
side_road_right,16,1.0,0.3333333333333333,0.5,3
