label,index,precision,recall,f1,support
filling_station,0,0.75,1.0,0.8571428571428571,3
gap_in_median,1,1.0,0.5,0.6666666666666666,2
give_way,2,1.0,0.3333333333333333,0.5,3
hairpin_bend_ahead,3,0.8,1.0,0.8888888888888888,4
left_curve_ahead,4,0.0,0.0,0.0,4
major_road_ahead,5,1.0,0.3333333333333333,0.5,3
maximum_speed_limit_30_km_h,6,1.0,0.6666666666666666,0.8,3
maximum_speed_limit_40_km_h,7,0.5,0.6666666666666666,0.5714285714285714,3
maximum_speed_limit_80_km_h,8,0.5,0.3333333333333333,0.4,3
no_entry,9,0.0,0.0,0.0,2
no_right_turn,10,1.0,1.0,1.0,1
pass_either_side,11,0.3333333333333333,1.0,0.5,1
pedestrian_crossing_ahead,12,0.6,0.6,0.6,10
right_curve_ahead,13,1.0,0.5,0.6666666666666666,4
road_hump,14,0.3333333333333333,0.5,0.4,8
school_ahead,15,0.3,0.5,0.375,6
side_road_right,16,0.0,0.0,0.0,3
