image_path,class_name,split,dataset_a_class_id,dataset_a_class_name,source_template_id,augmentation_family_id,augmentation_generation,exact_content_sha256
0/0_original_43.png_592b345c-34ee-4cc5-b2f4-774db9375ab8.png,give_way,train,0,Give way,43,dataset_a_0_template_43,1,0581811c7d810cb64f31de64381eeba917c1791598f178bde05de7b474b43a14
0/0_original_43_original_43.png_00f45b77-a86e-4af1-8eee-259b19bd12dd.png_072d913d-c24c-4abc-915e-134ebe3984a9.png,give_way,train,0,Give way,43,dataset_a_0_template_43,2,1a2302b7a2252598ddb769aaea1e19620fb1675c62332522a814d52ccab671c1
0/0_original_43_original_43.png_00f45b77-a86e-4af1-8eee-259b19bd12dd.png_2d6e04de-2d64-4ea0-a6b9-7603e0ae938e.png,give_way,train,0,Give way,43,dataset_a_0_template_43,2,ae36fec4b84b7cdeef8f5dd7dca0f111b2a757dd00becdcfb6d0e3afbe59aee3
0/0_original_43_original_43.png_00f45b77-a86e-4af1-8eee-259b19bd12dd.png_768c63dc-7a24-453f-9706-01f85bf3e49b.png,give_way,train,0,Give way,43,dataset_a_0_template_43,2,14d7a35d48e60d60e9b6253818da1e8e5446334d79418f96cb0d3ba2aeea2e27
0/0_original_43_original_43.png_00f45b77-a86e-4af1-8eee-259b19bd12dd.png_7a745078-e0eb-4ba2-baa3-0991c75e2b16.png,give_way,train,0,Give way,43,dataset_a_0_template_43,2,b8d8aa720ad305412ed3291ec6f2512ca2e0ccc5304ed72f82658a1d3c814678
0/0_original_43_original_43.png_02661bd5-3d5b-4478-a571-ad74f652ca39.png_239f85c7-fa52-4377-b712-d6be292dcc0c.png,give_way,train,0,Give way,43,dataset_a_0_template_43,2,9427339cf3286fe18763542207a70e13fa4d3b56651bdca085255c88058aeb4e
0/0_original_43_original_43.png_02661bd5-3d5b-4478-a571-ad74f652ca39.png_8cc27c93-12f5-4454-836b-14b8d9089f62.png,give_way,train,0,Give way,43,dataset_a_0_template_43,2,1839e463326fc1dbda7dc9a927728f4fc0203e4f55c252726eb7fb14bd1cd6d8
0/0_original_43_original_43.png_04483064-39ca-41ac-b755-800101e09955.png_36d718e5-c1de-417b-a664-932fb7250490.png,give_way,train,0,Give way,43,dataset_a_0_template_43,2,f4b90fe95b8f448cc8ff7053d8713a3597a27f751c6be43f2ddd3cb3457c6672
0/0_original_43_original_43.png_04483064-39ca-41ac-b755-800101e09955.png_9b7b2450-fd1d-41c3-877b-26a20ae306c4.png,give_way,train,0,Give way,43,dataset_a_0_template_43,2,94d2b5655122081e0cd50d78842417f654ec7c94c90c30dd1f09b7b58cd1fefe
0/0_original_43_original_43.png_04b40297-39ac-44c0-a574-dc63bd9b7cf7.png_242b02e1-7d80-4cb3-af1f-08032f6d5a69.png,give_way,train,0,Give way,43,dataset_a_0_template_43,2,83772c921304bda709eb9c285a9015b99242d31e6e968c00411c1ef1ad01e476
0/0_original_43_original_43.png_04b40297-39ac-44c0-a574-dc63bd9b7cf7.png_e72d3be8-2eb4-4521-9031-6b2728807e06.png,give_way,train,0,Give way,43,dataset_a_0_template_43,2,e26a57948e12c06f64f9ed78a3be670f6e1f3936d2255ecf3d3a1fea5dd513a6
0/0_original_43_original_43.png_0505603d-d477-4ae0-b81c-aebc060d663c.png_79c766ae-418e-4348-80b5-6ed54c986514.png,give_way,train,0,Give way,43,dataset_a_0_template_43,2,d580c3b4ab6a8d5651e1c3f3953a36a68a2001485f132057443df3ceeff7e7ed
0/0_original_43_original_43.png_0f4ea773-3a01-4c63-94ff-452bfecd81ed.png_773d99bd-95ca-4779-b3ba-3ea9e3579582.png,give_way,train,0,Give way,43,dataset_a_0_template_43,2,58189d0835f201fc9a8f0dc3c60477fbae6249c1a3b2d9dd78f2bbcd50b85f6f
0/0_original_43_original_43.png_1674ff54-1005-4f3a-954e-7e3f4d98ed73.png_1aee225b-25b5-4c81-b3b4-c9bc290d271e.png,give_way,train,0,Give way,43,dataset_a_0_template_43,2,bd6472253d5f75a1a8c54db5021dda1765d1dd6ec9ddd0b34507c8289bd93851
