image_path,class_name,hf_class_name,split,source,source_licence,maps_to_base_class,difference_hash,width,height,file_bytes
COMPULSARY_AHEAD/06042.jpg,,COMPULSARY_AHEAD,train,huggingface_kannanwisen_indian_traffic_sign_classification,CC-BY-4.0 (declared; no author or source named upstream),no,70ecce8f2dccec68,50,50,2790
COMPULSARY_AHEAD/06043.jpg,,COMPULSARY_AHEAD,train,huggingface_kannanwisen_indian_traffic_sign_classification,CC-BY-4.0 (declared; no author or source named upstream),no,73e8cc8eafcccded,50,50,3156
COMPULSARY_AHEAD/06045.jpg,,COMPULSARY_AHEAD,train,huggingface_kannanwisen_indian_traffic_sign_classification,CC-BY-4.0 (declared; no author or source named upstream),no,9f2d4e86ed4c2587,50,50,3616
COMPULSARY_AHEAD/06047.jpg,,COMPULSARY_AHEAD,train,huggingface_kannanwisen_indian_traffic_sign_classification,CC-BY-4.0 (declared; no author or source named upstream),no,2d0f0f0f2b0b0f0d,50,50,3444
COMPULSARY_AHEAD/06049.jpg,,COMPULSARY_AHEAD,train,huggingface_kannanwisen_indian_traffic_sign_classification,CC-BY-4.0 (declared; no author or source named upstream),no,4d0f0f0f2b0b0b0f,50,50,3474
COMPULSARY_AHEAD/06050.jpg,,COMPULSARY_AHEAD,train,huggingface_kannanwisen_indian_traffic_sign_classification,CC-BY-4.0 (declared; no author or source named upstream),no,19960f0f0a0c260e,50,50,3126
COMPULSARY_AHEAD/06051.jpg,,COMPULSARY_AHEAD,train,huggingface_kannanwisen_indian_traffic_sign_classification,CC-BY-4.0 (declared; no author or source named upstream),no,4c0f0d0d2d2d0f07,50,50,3520
COMPULSARY_AHEAD_OR_TURN_LEFT/07006.jpg,,COMPULSARY_AHEAD_OR_TURN_LEFT,train,huggingface_kannanwisen_indian_traffic_sign_classification,CC-BY-4.0 (declared; no author or source named upstream),no,1765c686b696f7ef,50,50,3674
COMPULSARY_AHEAD_OR_TURN_RIGHT/08000.jpg,,COMPULSARY_AHEAD_OR_TURN_RIGHT,train,huggingface_kannanwisen_indian_traffic_sign_classification,CC-BY-4.0 (declared; no author or source named upstream),no,70ccdeab8bcacc73,50,50,3152
COMPULSARY_AHEAD_OR_TURN_RIGHT/08001.jpg,,COMPULSARY_AHEAD_OR_TURN_RIGHT,train,huggingface_kannanwisen_indian_traffic_sign_classification,CC-BY-4.0 (declared; no author or source named upstream),no,73599c9a8bdad9bf,50,50,3016
